,Country Code,Country,Date,Blacklist
0,ASM,American Samoa,05-12-2017,True
1,ANG,Anguilla,05-12-2017,False
2,ATG,Antigua and Barbuda,05-12-2017,False
3,ABW,Aruba,05-12-2017,False
4,BHS,Bahamas,05-12-2017,False
5,BHR,Bahrain,05-12-2017,True
6,BRB,Barbados,05-12-2017,True
7,BLZ,Belize,05-12-2017,False
8,BMU,Bermuda,05-12-2017,False
9,VGB,British Virgin Islands,05-12-2017,False
10,CYM,Cayman Islands,05-12-2017,False
11,CRI,Costa Rica,05-12-2017,False
12,DMA,Dominica,05-12-2017,False
13,FJI,Fiji,05-12-2017,False
14,GRD,Grenada,05-12-2017,True
15,GUM,Guam,05-12-2017,True
16,MAC,Macau,05-12-2017,True
17,MHL,Marshall Islands,05-12-2017,True
18,MNG,Mongolia,05-12-2017,True
19,NAM,Namibia,05-12-2017,True
20,OMN,Oman,05-12-2017,False
21,PLW,Palau,05-12-2017,True
22,PAN,Panama,05-12-2017,True
23,RUS,Russia,05-12-2017,False
24,KNA,Saint Kitts and Nevis,05-12-2017,False
25,LCA,Saint Lucia,05-12-2017,True
26,WSM,Samoa,05-12-2017,True
27,SYC,Seychelles,05-12-2017,False
28,KOR,South Korea,05-12-2017,True
29,TTO,Trinidad and Tobago,05-12-2017,True
30,TUN,Tunisia,05-12-2017,True
31,TCA,Turks and Caicos Islands,05-12-2017,False
32,ARE,United Arab Emirates,05-12-2017,True
33,VUT,US Virgin Islands,05-12-2017,False
34,VIR,Vanuatu,05-12-2017,False
35,ASM,American Samoa,23-01-2018,True
36,ANG,Anguilla,23-01-2018,False
37,ATG,Antigua and Barbuda,23-01-2018,False
38,ABW,Aruba,23-01-2018,False
39,BHS,Bahamas,23-01-2018,False
40,BHR,Bahrain,23-01-2018,True
41,BRB,Barbados,23-01-2018,False
42,BLZ,Belize,23-01-2018,False
43,BMU,Bermuda,23-01-2018,False
44,VGB,British Virgin Islands,23-01-2018,False
45,CYM,Cayman Islands,23-01-2018,False
46,CRI,Costa Rica,23-01-2018,False
47,DMA,Dominica,23-01-2018,False
48,FJI,Fiji,23-01-2018,False
49,GRD,Grenada,23-01-2018,False
50,GUM,Guam,23-01-2018,True
51,MAC,Macau,23-01-2018,False
52,MHL,Marshall Islands,23-01-2018,True
53,MNG,Mongolia,23-01-2018,False
54,NAM,Namibia,23-01-2018,True
55,OMN,Oman,23-01-2018,False
56,PLW,Palau,23-01-2018,True
57,PAN,Panama,23-01-2018,False
58,RUS,Russia,23-01-2018,False
59,KNA,Saint Kitts and Nevis,23-01-2018,False
60,LCA,Saint Lucia,23-01-2018,True
61,WSM,Samoa,23-01-2018,True
62,SYC,Seychelles,23-01-2018,False
63,KOR,South Korea,23-01-2018,False
64,TTO,Trinidad and Tobago,23-01-2018,True
65,TUN,Tunisia,23-01-2018,False
66,TCA,Turks and Caicos Islands,23-01-2018,False
67,ARE,United Arab Emirates,23-01-2018,False
68,VUT,US Virgin Islands,23-01-2018,False
69,VIR,Vanuatu,23-01-2018,False
70,ASM,American Samoa,13-03-2018,True
71,ANG,Anguilla,13-03-2018,False
72,ATG,Antigua and Barbuda,13-03-2018,False
73,ABW,Aruba,13-03-2018,False
74,BHS,Bahamas,13-03-2018,True
75,BHR,Bahrain,13-03-2018,False
76,BRB,Barbados,13-03-2018,False
77,BLZ,Belize,13-03-2018,False
78,BMU,Bermuda,13-03-2018,False
79,VGB,British Virgin Islands,13-03-2018,False
80,CYM,Cayman Islands,13-03-2018,False
81,CRI,Costa Rica,13-03-2018,False
82,DMA,Dominica,13-03-2018,False
83,FJI,Fiji,13-03-2018,False
84,GRD,Grenada,13-03-2018,False
85,GUM,Guam,13-03-2018,True
86,MAC,Macau,13-03-2018,False
87,MHL,Marshall Islands,13-03-2018,False
88,MNG,Mongolia,13-03-2018,False
89,NAM,Namibia,13-03-2018,True
90,OMN,Oman,13-03-2018,False
91,PLW,Palau,13-03-2018,True
92,PAN,Panama,13-03-2018,False
93,RUS,Russia,13-03-2018,False
94,KNA,Saint Kitts and Nevis,13-03-2018,True
95,LCA,Saint Lucia,13-03-2018,False
96,WSM,Samoa,13-03-2018,True
97,SYC,Seychelles,13-03-2018,False
98,KOR,South Korea,13-03-2018,False
