Country Name,Country Code,01-01-2008,01-01-2009,01-01-2010,01-01-2011,01-01-2012,01-01-2013,01-01-2014,01-01-2015,01-01-2016,01-01-2017,01-01-2018,01-01-2019,01-01-2020,01-01-2021,01-01-2022,01-01-2023
Aruba,ABW,18882681.56,-10614525.14,186759776.5,488156424.6,-314692737.4,272088145.4,208344037.2,-26881396.99,27550827.1,162456842.3,144146269.4,-75226540.68,161066979.1,133545121.2,248150282.6,-177942150
United Arab Emirates,ARE,5062972000,1134288140,8796769640,7152095830,9566651350,9764914530,11071537020,8550901850,9604773000,10354223000,10385286000,17874660000,19884470000,20667120000,22736560000,30687540000
American Samoa,ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,153573370.7,83981325.73,93722574.32,69631054.05,124833151,92885388.56,46263101.05,114024660.1,97431976.47,151271628.2,202333092.3,133908540.3,106204179.2,289857032.5,301726890.4,300597732.2
Bahrain,BHR,1793998355,257149561.4,155771009.2,780851063.8,1544680851,3727712766,1518617021,64893617.02,243351063.8,1426063830,1654255319,941755319.1,1021276596,1779255319,1951329787,6839627660
"Bahamas, The",BHS,860156197,663960000,871970000,666621000,526171000,382252000,251277428.8,76075924.75,390400036.4,304587573.1,491404689.2,482229306.4,434599799.8,383064779.1,530913950.4,1459000000
Belize,BLZ,169668449.5,108840086.4,96449877.08,95348525.19,194201408.8,92247730.94,141097030.3,59119223.9,32733410.99,31831615.5,122041647,93910241.7,76202813.5,125495493.2,140907967.6,16269826.63
Bermuda,BMU,171529641.6,-70747817.17,222710475.9,-257865988.6,47614095.07,54904045.83,-3425440.524,-143094386.1,-73213793.63,-288109271,95416371.5,4389826.5,476518083.8,49675691.88,9926780,156440000
Barbados,BRB,615122884.6,356008255.1,425337312.6,459552936.4,528045664.5,104089451.2,753687476.1,688525943.3,557500316,91481933.17,241596500,215370130,262100000,238735060,200000000,224900000
Costa Rica,CRI,2436112218,1614614468,1906923793,2733268840,2696295211,3205384977,3242149797,2955521681,2620435491,2924906991,3014543618,2719031329,2103003649,3592802258,3673404329,4687479758
Cayman Islands,CYM,19555735000,20298045000,20965962640,31131855110,21489604740,34907994320,46040609770,80501525460,2684234739,2506466934,173644548.8,1080420249,6875780108,-807807825.1,-2919604163,28134155040
Dominica,DMA,56214627.56,56770072.17,57125819.44,50468508.44,56319360.09,38680839.41,12346929.84,7160376.509,42264926.11,22677207.69,78283172.03,63039788.69,22837136,28338715.13,17653772.96,20691116.41
Fiji,FJI,679220489.3,308373711,178091735.6,217158525.7,277313672,243782754,377869372.3,205373209.1,391619655.4,387602565.3,468861002.9,322282826.1,239380737.9,409894560.5,103581591.6,91017170
Grenada,GRD,144428158.5,108699954.4,55654134.82,85923082.65,49813748.83,130377747.9,83736824.36,154268835.2,109416203.8,153278369.8,185990696.4,208615795.7,141277504.9,152223567.2,156234559.3,163816991.1
St. Kitts and Nevis,KNA,149760827.7,133668978.8,123013536.4,88510971.85,113741914.7,144187233,156658594.1,128276604.8,121415245.5,48026116.14,40051767.21,62459225.98,2838723.078,23931799.25,43325552.59,32164621.85
Korea,KOR,11187500000,9021900000,9497400000,9773000000,9495900000,12766600000,9273600000,4104100000,12104300000,17912900000,12182600000,9634300000,8764900000,22060400000,25044700000,15178400000
St. Lucia,LCA,195623250.6,134978250.8,174224983.2,97165774.71,117962499.5,125625100.1,67259296.13,152240176.1,161613065.6,89941452.09,45522200.84,75509997.79,99135484.68,108895113.1,32968826.67,138721841.1
Macau,MAC,3982611128,-412628205,3629274389,1754336190,3565735906,3774560564,2424230567,486517486.3,1859188732,1701002328,1729819689,6509553755,-6216383036,5684328713,2933072258,2323960520
Marshall Islands,MHL,5694746.716,14649434.96,-9356673.132,-4380881.138,21373811.81,32548149.32,9047685.078,-5393638.499,-3055847.449,5835497.48,9752051.362,5164920.156,3045061.113,499428.4433,2573910,2039470
Mongolia,MNG,844697949.5,623609218.2,1691421732,4571161963,4272473223,2059702973,337768268.1,94319767.47,-4156404704,1494350363,1951528196,2443343095,1719115942,2173385310,2504294750,2247573670
Namibia,NAM,750426324.2,829054473.4,287528974.4,803600584.6,1041555413,777073646.4,445582247.9,838879062.7,358727049.6,280476975,234372724.5,-176478261.6,-150172760.7,840286915.8,1056043503,2294376189
Oman,OMN,2951885566,1509232770,1242652796,1629144343,1364629389,1612430962,1286345904,-2172431730,2266070221,2878543563,5600780234,1938621586,1913654096,8793237971,5478803641,4745383620
Panama,PAN,2390000000,1085500000,2549100000,4395600000,3381900000,3799000000,4984400000,5119300000,5248354450,4082062469,5011326421,4192643826,-2488644150,1352608288,2997059850,2326839513
Palau,PLW,4741656.707,2790871.006,2685244.116,8326127.029,21639126.32,18041109.84,39860115.39,34583158.15,64661000,47738000,50250000,44712000,43100000,31441000,72014000,47816750
Seychelles,SYC,179825444.2,168251661.9,159795375,143240665.1,613208776.3,57289065.62,108355443.1,105893597.2,68346743.93,197311244.1,305172393.8,257086351.8,80053481.41,111955764.4,189827389.3,239706294.2
Turks and Caicos Islands,TCA,0,0,0,0,0,0,-69533000,-69888000,16590000,22068000,42227000,26961670,30418890,28690280,35000000,32659570
Trinidad and Tobago,TTO,2800800000,709100000,549400000,41047454.46,-1904347649,-1129966026,661413505.4,176829744.9,-23598182.38,-470882577.7,-700185701.2,183972765.3,1055969148,-934781798.4,-913501690.4,-1555474291
Tunisia,TUN,2600674976,1525244858,1334497695,432666011.6,1554269129,1058622582,1024754444,970521888.7,622569482.2,810936482.8,991385678.1,815012991.4,623075275.9,547411353.6,643213141.2,767988330
St. Vincent and the Grenadines,VCT,157163408.2,109298135,95883709.79,84639172.9,132856056.9,153550360.6,124422677.8,123879208,70524768.3,165393134.6,40008167.53,68838376.2,65244280.38,162855590.8,70470577.04,81428525.19
British Virgin Islands,VGB,52554448000,42212878000,42386824910,50788161140,61121510450,104804764400,40462007210,66712741570,49022945940,39609971330,34389709120,39103361610,39619635210,39361498410,38118551090,39889381820
Virgin Islands (U.S.),VIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,VUT,37694497.49,32140846.43,63109398.82,61117730.9,60388540.21,59379212.8,13266163.52,31021245.77,44178569.39,38222690.16,37583468.42,52849932.2,41158955.85,43055519.34,10694983.22,9268550
Samoa,WSM,45899093.79,9868116.508,336435.0688,15191487.57,20871549.72,13791695.17,22849692.3,26867532.32,2520673.511,9215371.787,16713450.86,-2178815.552,4426082.016,8948924.655,4800455.465,2395914.976
