Country,Country Code,01-01-2011,01-01-2013,01-01-2015,01-01-2018,01-01-2020,01-01-2022
Aruba,ABW,74.2,70.6,67.71,75.975,73.275,70.925
Anguilla,AIA,0,0,0,0,0,0
United Arab Emirates,ARE,0,0,0,0,79.725,79.45
American Samoa,ASM,79.27,76.47,69.24,77.5,78.2,75.45
Antigua and Barbuda,ATG,0,0,0,0,0,54.45
Bahrain,BHR,73.27,76.27,76.6,66.05,58.325,54.95
Bahamas,BHS,83.31,0,0,0,0,0
Belize,BLZ,79.07,79,77.44,83.85,77.925,79.225
Bermuda,BMU,0,0,0,0,54.975,49.125
Barbados,BRB,0,0,0,0,0,0
Costa Rica,CRI,0,0,0,0,0,0
Cayman Islands,CYM,81.53,80,80.96,86.875,76.075,76.975
Dominica,DMA,0,47.4,43.47,51.15,50.0875,56.15
Fiji,FJI,65.87,63.73,53.71,55.9,56.5,54.625
Grenada,GRD,0,0,0,0,0,0
Guam,GUM,0,0,0,0,0,0
St. Kitts and Nevis,KNA,59.13,45.07,40.89,44,45.05,52.525
South Korea,KOR,0,0,0,0,0,0
St. Lucia,LCA,0,0,0,0,0,0
Macau,MAC,0,0,0,0,0,0
Marshall Islands,MHL,0,0,0,0,72.725,74.625
Mongolia,MNG,0,0,0,54.175,49.45,52.775
Namibia,NAM,77.8,72.3,73.67,77.8,62.4,68.2
Oman,OMN,82.87,79.93,79.02,84.5,75.375,75.475
Panama,PAN,0,0,0,0,0,0
Palau,PLW,0,0,0,0,0,0
Russia,RUS,90.23,80.4,78.86,75.175,73.925,75.1
Seychelles,SYC,85.33,79.87,66.27,73.05,72.725,70.125
Turks and Caicos Islands,TCA,0,0,0,80.35,79.1,79.25
Trinidad and Tobago,TTO,0,52.4,51.84,49,51.675,49.15
Tunisia,TUN,78.87,81,78.29,73.85,74,73.725
British Virgin Islands,VGB,84.13,84.13,82.78,84.05,78.3,73.3
US Virgin Islands,VIR,0,0,0,0,0,0
Vanuatu,VUT,78.53,73.33,71.38,68.725,62.2445,56.8
Samoa,WSM,0,0,0,0,0,0
