,Country Code,Country,Date,Financial Secrecy Index
0,ABW,Aruba,01-01-2011,74.2
1,AIA,Anguilla,01-01-2011,0.0
2,ARE,United Arab Emirates,01-01-2011,0.0
3,ASM,American Samoa,01-01-2011,79.27
4,ATG,Antigua and Barbuda,01-01-2011,0.0
5,BHR,Bahrain,01-01-2011,73.27
6,BHS,Bahamas,01-01-2011,83.31
7,BLZ,Belize,01-01-2011,79.07
8,BMU,Bermuda,01-01-2011,0.0
9,BRB,Barbados,01-01-2011,0.0
10,CRI,Costa Rica,01-01-2011,0.0
11,CYM,Cayman Islands,01-01-2011,81.53
12,DMA,Dominica,01-01-2011,0.0
13,FJI,Fiji,01-01-2011,65.87
14,GRD,Grenada,01-01-2011,0.0
15,GUM,Guam,01-01-2011,0.0
16,KNA,St. Kitts and Nevis,01-01-2011,59.13
17,KOR,South Korea,01-01-2011,0.0
18,LCA,St. Lucia,01-01-2011,0.0
19,MAC,Macau,01-01-2011,0.0
20,MHL,Marshall Islands,01-01-2011,0.0
21,MNG,Mongolia,01-01-2011,0.0
22,NAM,Namibia,01-01-2011,77.8
23,OMN,Oman,01-01-2011,82.87
24,PAN,Panama,01-01-2011,0.0
25,PLW,Palau,01-01-2011,0.0
26,RUS,Russia,01-01-2011,90.23
27,SYC,Seychelles,01-01-2011,85.33
28,TCA,Turks and Caicos Islands,01-01-2011,0.0
29,TTO,Trinidad and Tobago,01-01-2011,0.0
30,TUN,Tunisia,01-01-2011,78.87
31,VGB,British Virgin Islands,01-01-2011,84.13
32,VIR,US Virgin Islands,01-01-2011,0.0
33,VUT,Vanuatu,01-01-2011,78.53
34,WSM,Samoa,01-01-2011,0.0
35,ABW,Aruba,01-01-2013,70.6
36,AIA,Anguilla,01-01-2013,0.0
37,ARE,United Arab Emirates,01-01-2013,0.0
38,ASM,American Samoa,01-01-2013,76.47
39,ATG,Antigua and Barbuda,01-01-2013,0.0
40,BHR,Bahrain,01-01-2013,76.27
41,BHS,Bahamas,01-01-2013,0.0
42,BLZ,Belize,01-01-2013,79.0
43,BMU,Bermuda,01-01-2013,0.0
44,BRB,Barbados,01-01-2013,0.0
45,CRI,Costa Rica,01-01-2013,0.0
46,CYM,Cayman Islands,01-01-2013,80.0
47,DMA,Dominica,01-01-2013,47.4
48,FJI,Fiji,01-01-2013,63.73
49,GRD,Grenada,01-01-2013,0.0
50,GUM,Guam,01-01-2013,0.0
51,KNA,St. Kitts and Nevis,01-01-2013,45.07
52,KOR,South Korea,01-01-2013,0.0
53,LCA,St. Lucia,01-01-2013,0.0
54,MAC,Macau,01-01-2013,0.0
55,MHL,Marshall Islands,01-01-2013,0.0
56,MNG,Mongolia,01-01-2013,0.0
57,NAM,Namibia,01-01-2013,72.3
58,OMN,Oman,01-01-2013,79.93
59,PAN,Panama,01-01-2013,0.0
60,PLW,Palau,01-01-2013,0.0
61,RUS,Russia,01-01-2013,80.4
62,SYC,Seychelles,01-01-2013,79.87
63,TCA,Turks and Caicos Islands,01-01-2013,0.0
64,TTO,Trinidad and Tobago,01-01-2013,52.4
65,TUN,Tunisia,01-01-2013,81.0
66,VGB,British Virgin Islands,01-01-2013,84.13
67,VIR,US Virgin Islands,01-01-2013,0.0
68,VUT,Vanuatu,01-01-2013,73.33
69,WSM,Samoa,01-01-2013,0.0
70,ABW,Aruba,01-01-2015,67.71
71,AIA,Anguilla,01-01-2015,0.0
72,ARE,United Arab Emirates,01-01-2015,0.0
73,ASM,American Samoa,01-01-2015,69.24
74,ATG,Antigua and Barbuda,01-01-2015,0.0
75,BHR,Bahrain,01-01-2015,76.6
76,BHS,Bahamas,01-01-2015,0.0
77,BLZ,Belize,01-01-2015,77.44
78,BMU,Bermuda,01-01-2015,0.0
79,BRB,Barbados,01-01-2015,0.0
80,CRI,Costa Rica,01-01-2015,0.0
81,CYM,Cayman Islands,01-01-2015,80.96
82,DMA,Dominica,01-01-2015,43.47
83,FJI,Fiji,01-01-2015,53.71
84,GRD,Grenada,01-01-2015,0.0
85,GUM,Guam,01-01-2015,0.0
86,KNA,St. Kitts and Nevis,01-01-2015,40.89
87,KOR,South Korea,01-01-2015,0.0
88,LCA,St. Lucia,01-01-2015,0.0
89,MAC,Macau,01-01-2015,0.0
90,MHL,Marshall Islands,01-01-2015,0.0
91,MNG,Mongolia,01-01-2015,0.0
92,NAM,Namibia,01-01-2015,73.67
93,OMN,Oman,01-01-2015,79.02
94,PAN,Panama,01-01-2015,0.0
95,PLW,Palau,01-01-2015,0.0
96,RUS,Russia,01-01-2015,78.86
97,SYC,Seychelles,01-01-2015,66.27
98,TCA,Turks and Caicos Islands,01-01-2015,0.0
99,TTO,Trinidad and Tobago,01-01-2015,51.84
100,TUN,Tunisia,01-01-2015,78.29
101,VGB,British Virgin Islands,01-01-2015,82.78
102,VIR,US Virgin Islands,01-01-2015,0.0
103,VUT,Vanuatu,01-01-2015,71.38
104,WSM,Samoa,01-01-2015,0.0
105,ABW,Aruba,01-01-2018,75.975
