,5-12-2017,23-1-2018,13-3-2018,25-5-2018,2-10-2018,6-11-2018,12-3-2019,17-05-2019,14-06-2019,10-10-2019,8-11-2019,18-2-2020,6-10-2020,22-2-2021,5-10-2021,24-2-2022,4-10-2022,14-2-2023,17-10-2023,20-2-2024,8-10-2024
American Samoa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1
Aruba,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
Bahrain,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Belize,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
Bermuda,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Dominica,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Fiji,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Grenada,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Macau,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Mongolia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Palau,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Panama,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Russia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Samoa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Seychells,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
Saint Kitts and Nevis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
Trinidad and Tobago,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
United Arab Emirites,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
US Virgin Islands,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Vanuatu,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
