country_name,iso3,fsi_2011_value,fsi_2013_value,fsi_2015_value,fsi_2018_value,fsi_2020_value,fsi_2022_value,fsi_2011_gsw,fsi_2013_gsw,fsi_2015_gsw,fsi_2018_gsw,fsi_2020_gsw,fsi_2022_gsw,fsi_2011_rank,fsi_2013_rank,fsi_2015_rank,fsi_2018_rank,fsi_2020_rank,fsi_2022_rank,fsi_2011_score,fsi_2013_score,fsi_2015_score,fsi_2018_score,fsi_2020_score,fsi_2022_score
Aruba,ABW,124.9300921,113.3252,99.5278,148.0466,76.65347324,159.364604258608,0.0000286,0.00334,0.0032958,0.0000385,0.0000074,0.0000891212985152379,48,55,57,68,112,75,74.2,70.6,67.71,75.975,73.275,70.925
Afghanistan,AFG,,,,,,,,,,0.0000717,0.00000947,,,,,,,,,,,,,
Angola,AGO,,,,,345.4517203,335.726662488047,,,,0.0003312,0.000316819,0.000299993873341,,,,,35,33,,,,,79.725,79.45
Anguilla,AIA,36.04731967,96.76443,89.38037,195.0371,192.9863302,199.868287614495,3.79e-7,0.00101,0.0019521,0.0000736,0.0000657,0.0001007623941404,66,61,63,56,62,58,79.27,76.47,69.24,77.5,78.2,75.45
Albania,ALB,,,,,,46.9009190392295,,,,0.0000042,0.0000163,0.0000245224073296413,,,,,,123,,,,,,54.45
Andorra,AND,133.6207578,43.37763,27.32231,35.05223,38.8370971,80.0128885228656,0.0000392,0.0000935,0.0000225,0.0000018,0.0000075,0.0001121425884775,46,74,87,105,123,114,73.27,76.27,76.6,66.05,58.325,54.95
Netherlands Antilles,ANT,129.3691558,,,,,,0.0000112,,,0.0000166,,,47,,,,,,83.31,,,,,
United Arab Emirates,ARE,439.5830274,419.0078,440.7632,661.1468,605.1966719,648.452012449766,0.0007031,0.06138,0.0854925,0.0014105,0.002092176,0.0022175493650138,18,16,10,9,10,8,79.07,79,77.44,83.85,77.925,79.225
Argentina,ARG,,,,,109.3707018,82.2489146996438,,,,0.000124,0.000285244,0.0003339392424095,,,,,94,111,,,,,54.975,49.125
Armenia,ARM,,,,,,,,,,0.0000132,0.0000275,,,,,,,,,,,,,
American Samoa,ASM,,,,,,30.0633560836334,,,,6.59e-7,0.00000234,7.37077698431676e-7,,,,,,135,,,,,,69.3
French Southern Territories,ATF,,,,,,,,,,,7.36e-8,,,,,,,,,,,,,
Antigua and Barbuda,ATG,88.46715871,60.47441,79.55601,54.5297,39.04950099,44.726376927443,0.00000435,0.000165,0.000337,5.75e-7,6.98e-7,9.43069892400672e-7,59,67,65,98,122,127,81.53,80,80.96,86.875,76.075,76.975
Australia,AUS,,168.1538,148.0734,244.3583,238.0740006,318.068723355769,,0.39365,0.5857664,0.0060879,0.006800983,0.0057998271659016,,44,44,44,48,37,,47.4,43.47,51.15,50.0875,56.15
Austria,AUT,453.4871247,400.8232,295.3141,310.4127,317.0012908,270.185906860013,0.0039949,0.37133,0.6923991,0.0056119,0.00542934,0.0045547550544142,17,18,24,35,36,44,65.87,63.73,53.71,55.9,56.5,54.625
Azerbaijan,AZE,,,,,,,,,,0.00000591,0.0000239,,,,,,,,,,,,,
Burundi,BDI,,,,,,,,,,0.00000439,0.00000148,,,,,,,,,,,,,
Belgium,BEL,467.1602626,199.2665,181.2279,212.9652,236.2087478,358.925657432149,0.0115379,1.03113,1.862597,0.0156261,0.017243871,0.015195638872683,15,40,38,53,50,26,59.13,45.07,40.89,44,45.05,52.525
Benin,BEN,,,,,,,,,,0.0000267,0.0000113,,,,,,,,,,,,,
"Bonaire, Sint Eustatius and Saba",BES,,,,,,,,,,0.00000168,0.00000841,,,,,,,,,,,,,
Burkina Faso,BFA,,,,,,,,,,6.29e-7,0.000152479,,,,,,,,,,,,,
Bangladesh,BGD,,,,,228.7907315,232.42749691377,,,,0.0001533,0.000210456,0.000174945758772,,,,,54,52,,,,,72.725,74.625
