Economy_Label,2008_Percentage_of_Gross_Fixed_Capital_Formation_Value,2008_Percentage_of_Gross_Fixed_Capital_Formation_MissingValue,2009_Percentage_of_Gross_Fixed_Capital_Formation_Value,2009_Percentage_of_Gross_Fixed_Capital_Formation_MissingValue,2010_Percentage_of_Gross_Fixed_Capital_Formation_Value,2010_Percentage_of_Gross_Fixed_Capital_Formation_MissingValue,2011_Percentage_of_Gross_Fixed_Capital_Formation_Value,2011_Percentage_of_Gross_Fixed_Capital_Formation_MissingValue,2012_Percentage_of_Gross_Fixed_Capital_Formation_Value,2012_Percentage_of_Gross_Fixed_Capital_Formation_MissingValue,2013_Percentage_of_Gross_Fixed_Capital_Formation_Value,2013_Percentage_of_Gross_Fixed_Capital_Formation_MissingValue,2014_Percentage_of_Gross_Fixed_Capital_Formation_Value,2014_Percentage_of_Gross_Fixed_Capital_Formation_MissingValue,2015_Percentage_of_Gross_Fixed_Capital_Formation_Value,2015_Percentage_of_Gross_Fixed_Capital_Formation_MissingValue,2016_Percentage_of_Gross_Fixed_Capital_Formation_Value,2016_Percentage_of_Gross_Fixed_Capital_Formation_MissingValue,2017_Percentage_of_Gross_Fixed_Capital_Formation_Value,2017_Percentage_of_Gross_Fixed_Capital_Formation_MissingValue,2018_Percentage_of_Gross_Fixed_Capital_Formation_Value,2018_Percentage_of_Gross_Fixed_Capital_Formation_MissingValue,2019_Percentage_of_Gross_Fixed_Capital_Formation_Value,2019_Percentage_of_Gross_Fixed_Capital_Formation_MissingValue,2020_Percentage_of_Gross_Fixed_Capital_Formation_Value,2020_Percentage_of_Gross_Fixed_Capital_Formation_MissingValue,2021_Percentage_of_Gross_Fixed_Capital_Formation_Value,2021_Percentage_of_Gross_Fixed_Capital_Formation_MissingValue,2022_Percentage_of_Gross_Fixed_Capital_Formation_Value,2022_Percentage_of_Gross_Fixed_Capital_Formation_MissingValue,2023_Percentage_of_Gross_Fixed_Capital_Formation_Value,2023_Percentage_of_Gross_Fixed_Capital_Formation_MissingValue
"Anguilla",49.54,,51.88,,17.64,,86.37,,86.75,,102.88,,103.88,,138.77,,171.54,,175.53,,146.56,,222.5,,100.62,,107.11,,80.27,,115.71,
"Antigua and Barbuda",30.97,,17.42,,29.93,,27.62,,50.14,,33.77,,16.4,,43.62,,26.94,,29.28,,32.43,,16.75,,10.4,,44.26,,46.43,,46.57,
"Aruba",2.25,,-1.51,,36.2,,71.76,,-55.22,,37.4,,34.56,,-4.51,,4.82,,14.81,,15.93,,-18.91,,23.62,,22.12,,35.82,,-24.42,
"Bahamas",50.75,,24.13,,40.67,,49.25,,31.78,,53.53,,105.12,,25.54,,42.73,,27.43,,29.45,,18.33,,39.38,,39.61,,47.52,,55.26,
"Bahrain",29.72,,4.44,,2.33,,1.61,,18.72,,46.27,,17.77,,0.87,,2.93,,14.18,,14.85,,14.41,,10.21,,18.4,,22.87,,56.67,
"Barbados",70.81,,34.11,,62.79,,58.08,,71.57,,15.43,,77.24,,53.01,,34.43,,26.82,,33.67,,28.26,,31.21,,28.4,,20.76,,23.34,
"Belize",44.18,,38.88,,40.84,,37.51,,76.33,,32.25,,43.38,,18.04,,10.91,,7.01,,31.13,,23.46,,21.61,,25.82,,23.94,,8.45,
"Bermuda",6.98,,-7.23,,26.66,,-32.47,,6.78,,7.79,,-0.44,,-18.08,,9.28,,-29.31,,9.85,,0.46,,13.29,,0.16,,1.05,,16.55,
"British Virgin Islands",18426.29,,16414.02,,15844.83,,19782.92,,22899.24,,38757.14,,14080.28,,21781.61,,14594.29,,12656.14,,10376.88,,10811.32,,11604.68,,11281.49,,10842.68,,11346.39,
"Cayman Islands",3074,,3418.34,,3639.12,,5355.22,,3613.85,,5727.16,,7222.95,,12466.59,,8748.73,,2086.16,,2362.36,,2944.1,,2209,,2068.22,,2104.68,,2408.03,
"China, Macao SAR",41.59,,21.48,,80.34,,15.98,,66.69,,66.67,,33.18,,9.04,,19.68,,15.11,,28.26,,87.64,,-94.09,,76.57,,64.52,,41.36,
"Costa Rica",31.72,,22.35,,22.98,,29.62,,23.87,,27.15,,28.36,,25.68,,19.9,,25.26,,21.89,,26.86,,17.47,,28.07,,25.91,,32.11,
"Dominica",58.5,,60.38,,47.22,,41.59,,79.18,,33.65,,21.36,,18.02,,55.34,,4.17,,53.2,,52.72,,4.28,,13.97,,7.3,,8.84,
"Fiji",92.8,,68.01,,35.23,,31.77,,46.84,,22.34,,40.59,,22.13,,40.81,,37.54,,44.89,,32.42,,29.51,,48.73,,11.77,,10.32,
"Grenada",52.57,,55.58,,35.6,,27.51,,24.09,,67.07,,59.27,,97.97,,56.15,,75,,79.66,,88.19,,48.63,,59.47,,46.05,,48.4,
