,Country Code,Country Name,Date,FDI Inflows
0,ABW,Aruba,01-01-2008,18882681.56
1,ASM,American Samoa,01-01-2008,0.0
2,ATG,Antigua and Barbuda,01-01-2008,153573370.7
3,BHS,"Bahamas, The",01-01-2008,860156197.0
4,BHR,Bahrain,01-01-2008,1793998355.0
5,BRB,Barbados,01-01-2008,615122884.6
6,BLZ,Belize,01-01-2008,169668449.5
7,BMU,Bermuda,01-01-2008,171529641.6
8,VGB,British Virgin Islands,01-01-2008,52554448000.0
9,CYM,Cayman Islands,01-01-2008,19555735000.0
10,CRI,Costa Rica,01-01-2008,2436112218.0
11,DMA,Dominica,01-01-2008,56214627.56
12,FJI,Fiji,01-01-2008,679220489.3
13,GRD,Grenada,01-01-2008,144428158.5
14,KOR,Korea,01-01-2008,11187500000.0
15,MAC,Macau,01-01-2008,3982611128.0
16,MHL,Marshall Islands,01-01-2008,5694746.716
17,MNG,Mongolia,01-01-2008,844697949.5
18,NAM,Namibia,01-01-2008,750426324.2
19,OMN,Oman,01-01-2008,2951885566.0
20,PLW,Palau,01-01-2008,4741656.707
21,PAN,Panama,01-01-2008,2390000000.0
22,RUS,Russia,01-01-2008,74782910000.0
23,WSM,Samoa,01-01-2008,45899093.79
24,SYC,Seychelles,01-01-2008,179825444.2
25,KNA,St. Kitts and Nevis,01-01-2008,149760827.7
26,LCA,St. Lucia,01-01-2008,195623250.6
27,TTO,Trinidad and Tobago,01-01-2008,2800800000.0
28,TUN,Tunisia,01-01-2008,2600674976.0
29,TCA,Turks and Caicos Islands,01-01-2008,0.0
30,ARE,United Arab Emirates,01-01-2008,5062972000.0
31,VUT,Vanuatu,01-01-2008,37694497.49
32,VIR,US Virgin Islands,01-01-2008,0.0
33,ABW,Aruba,01-01-2009,-10614525.14
34,ASM,American Samoa,01-01-2009,0.0
35,ATG,Antigua and Barbuda,01-01-2009,83981325.73
36,BHS,"Bahamas, The",01-01-2009,663960000.0
37,BHR,Bahrain,01-01-2009,257149561.4
38,BRB,Barbados,01-01-2009,356008255.1
39,BLZ,Belize,01-01-2009,108840086.4
40,BMU,Bermuda,01-01-2009,-70747817.17
41,VGB,British Virgin Islands,01-01-2009,42212878000.0
42,CYM,Cayman Islands,01-01-2009,20298045000.0
43,CRI,Costa Rica,01-01-2009,1614614468.0
44,DMA,Dominica,01-01-2009,56770072.17
45,FJI,Fiji,01-01-2009,308373711.0
46,GRD,Grenada,01-01-2009,108699954.4
47,KOR,Korea,01-01-2009,9021900000.0
48,MAC,Macau,01-01-2009,-412628205.0
49,MHL,Marshall Islands,01-01-2009,14649434.96
50,MNG,Mongolia,01-01-2009,623609218.2
51,NAM,Namibia,01-01-2009,829054473.4
52,OMN,Oman,01-01-2009,1509232770.0
53,PLW,Palau,01-01-2009,2790871.006
54,PAN,Panama,01-01-2009,1085500000.0
55,RUS,Russia,01-01-2009,36583100000.0
56,WSM,Samoa,01-01-2009,9868116.508
57,SYC,Seychelles,01-01-2009,168251661.9
58,KNA,St. Kitts and Nevis,01-01-2009,133668978.8
59,LCA,St. Lucia,01-01-2009,134978250.8
60,TTO,Trinidad and Tobago,01-01-2009,709100000.0
61,TUN,Tunisia,01-01-2009,1525244858.0
62,TCA,Turks and Caicos Islands,01-01-2009,0.0
63,ARE,United Arab Emirates,01-01-2009,1134288140.0
64,VUT,Vanuatu,01-01-2009,32140846.43
65,VIR,US Virgin Islands,01-01-2009,0.0
66,ABW,Aruba,01-01-2010,186759776.5
67,ASM,American Samoa,01-01-2010,0.0
68,ATG,Antigua and Barbuda,01-01-2010,93722574.32
69,BHS,"Bahamas, The",01-01-2010,871970000.0
70,BHR,Bahrain,01-01-2010,155771009.2
71,BRB,Barbados,01-01-2010,425337312.6
72,BLZ,Belize,01-01-2010,96449877.08
73,BMU,Bermuda,01-01-2010,222710475.9
74,VGB,British Virgin Islands,01-01-2010,42386824910.0
75,CYM,Cayman Islands,01-01-2010,20965962640.0
76,CRI,Costa Rica,01-01-2010,1906923793.0
