,Country Code,Country,Date,Blacklist
0,ASM,American Samoa,05-12-2017,1
1,ANG,Anguilla,05-12-2017,0
2,ATG,Antigua and Barbuda,05-12-2017,0
3,ABW,Aruba,05-12-2017,0
4,BHS,Bahamas,05-12-2017,0
5,BHR,Bahrain,05-12-2017,1
6,BRB,Barbados,05-12-2017,1
7,BLZ,Belize,05-12-2017,0
8,BMU,Bermuda,05-12-2017,0
9,VGB,British Virgin Islands,05-12-2017,0
10,CYM,Cayman Islands,05-12-2017,0
11,CRI,Costa Rica,05-12-2017,0
12,DMA,Dominica,05-12-2017,0
13,FJI,Fiji,05-12-2017,0
14,GRD,Grenada,05-12-2017,1
15,GUM,Guam,05-12-2017,1
16,MAC,Macau,05-12-2017,1
17,MHL,Marshall Islands,05-12-2017,1
18,MNG,Mongolia,05-12-2017,1
19,NAM,Namibia,05-12-2017,1
20,OMN,Oman,05-12-2017,0
21,PLW,Palau,05-12-2017,1
22,PAN,Panama,05-12-2017,1
23,RUS,Russia,05-12-2017,0
24,KNA,Saint Kitts and Nevis,05-12-2017,0
25,LCA,Saint Lucia,05-12-2017,1
26,WSM,Samoa,05-12-2017,1
27,SYC,Seychelles,05-12-2017,0
28,KOR,South Korea,05-12-2017,1
29,TTO,Trinidad and Tobago,05-12-2017,1
30,TUN,Tunisia,05-12-2017,1
31,TCA,Turks and Caicos Islands,05-12-2017,0
32,ARE,United Arab Emirates,05-12-2017,1
33,VUT,US Virgin Islands,05-12-2017,0
34,VIR,Vanuatu,05-12-2017,0
35,ASM,American Samoa,23-01-2018,1
36,ANG,Anguilla,23-01-2018,0
37,ATG,Antigua and Barbuda,23-01-2018,0
38,ABW,Aruba,23-01-2018,0
39,BHS,Bahamas,23-01-2018,0
40,BHR,Bahrain,23-01-2018,1
41,BRB,Barbados,23-01-2018,0
42,BLZ,Belize,23-01-2018,0
43,BMU,Bermuda,23-01-2018,0
44,VGB,British Virgin Islands,23-01-2018,0
45,CYM,Cayman Islands,23-01-2018,0
46,CRI,Costa Rica,23-01-2018,0
47,DMA,Dominica,23-01-2018,0
48,FJI,Fiji,23-01-2018,0
49,GRD,Grenada,23-01-2018,0
50,GUM,Guam,23-01-2018,1
51,MAC,Macau,23-01-2018,0
52,MHL,Marshall Islands,23-01-2018,1
53,MNG,Mongolia,23-01-2018,0
54,NAM,Namibia,23-01-2018,1
55,OMN,Oman,23-01-2018,0
56,PLW,Palau,23-01-2018,1
57,PAN,Panama,23-01-2018,0
58,RUS,Russia,23-01-2018,0
59,KNA,Saint Kitts and Nevis,23-01-2018,0
60,LCA,Saint Lucia,23-01-2018,1
61,WSM,Samoa,23-01-2018,1
62,SYC,Seychelles,23-01-2018,0
63,KOR,South Korea,23-01-2018,0
64,TTO,Trinidad and Tobago,23-01-2018,1
65,TUN,Tunisia,23-01-2018,0
66,TCA,Turks and Caicos Islands,23-01-2018,0
67,ARE,United Arab Emirates,23-01-2018,0
68,VUT,US Virgin Islands,23-01-2018,0
69,VIR,Vanuatu,23-01-2018,0
70,ASM,American Samoa,13-03-2018,1
71,ANG,Anguilla,13-03-2018,0
72,ATG,Antigua and Barbuda,13-03-2018,0
73,ABW,Aruba,13-03-2018,0
74,BHS,Bahamas,13-03-2018,1
